id,supplier_code,supplier_stock_level,supplier_backorder_eta,MSKU,ASIN,UPC,MPN,supplier_map_price,adjusted_supplier_unit_price,supplier_unit_price,supplier_pack_size,supplier_sold_by_increments,supplier_case_size,supplier_notes,supplier_item_description,supplier_unit_shipping_weight_in_pounds,supplier_status_code,misc1,misc2,misc3,misc4,misc5,supplier_sku,supplier_upcharge_pct,supplier_backorder_qty,brand,MSRP,updated_at,supplier_id,uploaded_at,case_upc,category_code,shelf_life
678267,ID1,627,NULL,NULL,NULL,00043100453901,NULL,NULL,1.55,4.65,1,3,48,200CT,"Mead Green Fat Lil Notebook",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3840,NULL,NULL,Mead,2.99,"2020-03-11 12:26:34.628153",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678268,ID1,24,NULL,NULL,NULL,00031600242002,NULL,NULL,5.15,20.6,1,4,4,4.25Z,"Kiwi Protect All Spray, For All Colors",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4073,NULL,NULL,Kiwi,9.99,"2020-03-11 12:26:34.628217",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678269,ID1,39,NULL,NULL,NULL,00075656304000,NULL,NULL,0.96,2.88,1,3,144,C-4,"JA-RU PEG TOY C-4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4383,NULL,NULL,Ja-Ru,1.99,"2020-03-11 12:26:34.628281",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678270,ID1,0,NULL,NULL,NULL,00075656306004,NULL,NULL,1.41,4.2299999999999995,1,3,144,C-6,"JA-RU PEG TOY C-6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4391,NULL,NULL,Ja-Ru,2.99,"2020-03-11 12:26:34.628344",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678271,ID1,129,NULL,NULL,NULL,00075656002562,NULL,NULL,1.41,4.2299999999999995,1,3,144,1CT,"JA-RU WHOPI CUSHION D-1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4405,NULL,NULL,Ja-Ru,2.99,"2020-03-11 12:26:34.628407",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678272,ID1,272,NULL,NULL,NULL,00075656400078,NULL,NULL,1.69,5.07,1,3,144,EA,"JA-RU TWISTY BALLOONS W/PUMP",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4413,NULL,NULL,Ja-Ru,3.49,"2020-03-11 12:26:34.628471",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678273,ID1,24,NULL,NULL,NULL,00075656024441,NULL,NULL,0.96,2.88,1,3,144,A-2,"JA-RU PLAY CASH TRAY A-2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4421,NULL,NULL,Ja-Ru,1.99,"2020-03-11 12:26:34.628535",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678274,ID1,0,NULL,NULL,NULL,00070652002677,NULL,NULL,1.08,3.24,1,3,36,7Z,"SIP-A-TRAINER CUP",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4456,NULL,NULL,"Arrow Products",2.19,"2020-03-11 12:26:34.628603",30,"2020-07-15 10:12:07.554715",NULL,NULL,NULL
678275,ID1,46,NULL,NULL,NULL,00035000566850,NULL,NULL,1.51,4.53,1,3,24,6Z,"Ultrabrite Advanced Whitening Toothpaste",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4782,NULL,NULL,"Ultra Brite",2.29,"2020-03-11 12:26:34.628667",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678276,ID1,38,NULL,NULL,NULL,00011017101406,NULL,NULL,1.84,5.5200000000000005,1,3,72,9CT,"Dr Scholls Corn Cushion 10140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4863,NULL,NULL,"DR Scholls",3.29,"2020-03-11 12:26:34.628730",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678277,ID1,27,NULL,NULL,NULL,00011017122883,NULL,NULL,2.35,14.100000000000001,1,6,72,6CT,"Dr Scholls Z Bun 6ct Cushion",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4944,NULL,NULL,"DR Scholls",3.79,"2020-03-11 12:26:34.628794",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678278,ID1,291,NULL,NULL,NULL,00325866105011,NULL,NULL,3.9,3.9,1,1,36,24S,"Aleve Tablets 24ct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5002,NULL,NULL,Aleve,6.29,"2020-03-11 12:26:34.628861",30,"2020-04-30 15:04:56.140122",NULL,NULL,NULL
678279,ID1,361,NULL,NULL,NULL,00325866105028,NULL,NULL,3.9,3.9,1,1,36,24S,"Aleve Caplets 24ct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5029,NULL,NULL,Aleve,6.29,"2020-03-11 12:26:34.628940",30,"2020-04-30 15:04:56.140122",NULL,NULL,NULL
678280,ID1,162,NULL,NULL,NULL,00325866105035,NULL,NULL,6.58,6.58,1,1,36,50S,"Aleve Tablets 50ct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5045,NULL,NULL,Aleve,10.59,"2020-03-11 12:26:34.629005",30,"2020-04-30 15:04:56.140122",NULL,NULL,NULL
678281,ID1,63,NULL,NULL,NULL,00311017262009,NULL,NULL,3.51,10.53,1,3,72,.33Z,"Dr Scholls Callus Remover Liquid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5053,NULL,NULL,"DR Scholls",5.69,"2020-03-11 12:26:34.629069",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678282,ID1,531,NULL,NULL,NULL,00325866105042,NULL,NULL,6.58,6.58,1,1,36,50S,"Aleve Caplets 50s Ea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5061,NULL,NULL,Aleve,10.59,"2020-03-11 12:26:34.629133",30,"2020-04-30 15:04:56.140122",NULL,NULL,NULL
678283,ID1,0,NULL,NULL,NULL,00325866105059,NULL,NULL,11,11,1,1,24,100S,"Aleve Tablets 100ct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5088,NULL,NULL,Aleve,17.59,"2020-03-11 12:26:34.629198",30,"2020-04-30 15:04:56.140122",NULL,NULL,NULL
678284,ID1,237,NULL,NULL,NULL,00325866105066,NULL,NULL,11,11,1,1,24,100S,"Aleve Caplets",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5134,NULL,NULL,Aleve,17.59,"2020-03-11 12:26:34.629262",30,"2020-04-30 15:04:56.140122",NULL,NULL,NULL
678285,ID1,24,NULL,NULL,NULL,00011171038006,NULL,NULL,1.3,3.9000000000000004,1,3,12,417376,"BUT SPONGE WIPE 2PK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5142,NULL,NULL,Butler,2.69,"2020-03-11 12:26:34.629326",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678286,ID1,0,NULL,NULL,NULL,00011017231509,NULL,NULL,3.45,10.350000000000001,1,3,24,7Z,"Dr. Scholl's Original Foot Powder",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5193,NULL,NULL,"DR Scholls",6.19,"2020-03-11 12:26:34.629390",30,"2020-06-22 03:51:19.085215",NULL,NULL,NULL
678287,ID1,24,NULL,NULL,NULL,00311017100028,NULL,NULL,2.35,7.050000000000001,1,3,72,9CT,"Dr Scholls Z Crnrem 10002",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5401,NULL,NULL,"DR Scholls",4.19,"2020-03-11 12:26:34.629454",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678288,ID1,0,NULL,NULL,NULL,00011017149002,NULL,NULL,1.99,5.97,1,3,72,2CT,"Dr Scholls Molefoam",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5444,NULL,NULL,"DR Scholls",3.59,"2020-03-11 12:26:34.629520",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678289,ID1,81,NULL,NULL,NULL,00011017148005,NULL,NULL,2.2,6.6000000000000005,1,3,72,4CT,"Dr Scholls Moleskin Plus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5452,NULL,NULL,"DR Scholls",3.89,"2020-03-11 12:26:34.629583",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678290,ID1,24,NULL,NULL,NULL,00022700036912,NULL,NULL,6.08,12.16,1,2,72,425,"Cover Girl Ultra Liquid Powder 425",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5614,NULL,NULL,Covergirl,9.39,"2020-03-11 12:26:34.629651",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678291,ID1,0,NULL,NULL,NULL,00310158081111,NULL,NULL,5.63,16.89,1,3,12,4Z,"Sensodyne for Sensitive Teeth Cavity Prevention Max Strength Fresh Mint",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5789,NULL,NULL,Sensodyne,8.99,"2020-03-11 12:26:34.629715",30,"2020-06-22 03:51:19.085215",NULL,NULL,NULL
678292,ID1,0,NULL,NULL,NULL,00310158092063,NULL,NULL,2.83,8.49,1,3,12,3.9Z,"Polident Denture Creme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5983,NULL,NULL,NULL,4.59,"2020-03-11 12:26:34.629780",30,"2020-06-22 03:51:19.085215",NULL,NULL,NULL
678293,ID1,2127,NULL,NULL,NULL,00076660008649,NULL,NULL,2.95,8.850000000000001,1,3,24,1.4Z,"Fixodent Cream 1.4oz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,6149,NULL,NULL,Fixodent,4.79,"2020-03-11 12:26:34.629844",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678294,ID1,1158,NULL,NULL,NULL,00310158053064,NULL,NULL,2.99,8.97,1,3,12,40S,"Polident 5 Minute Denture Cleanser Tablets",NULL,NULL,NULL,NULL,NULL,NULL,NULL,6327,NULL,NULL,Polident,4.89,"2020-03-11 12:26:34.629909",30,"2020-06-22 03:51:19.085215",NULL,NULL,NULL
678295,ID1,0,NULL,NULL,NULL,00310158053088,NULL,NULL,5.58,16.740000000000002,1,3,6,84S,"Polident 5 Minute Denture Cleanser",NULL,NULL,NULL,NULL,NULL,NULL,NULL,6343,NULL,NULL,Polident,8.99,"2020-03-11 12:26:34.629973",30,"2020-06-22 03:51:19.085215",NULL,NULL,NULL
678296,ID1,0,NULL,NULL,NULL,00381370030218,NULL,NULL,2.55,7.6499999999999995,1,3,48,9Z,"Johnson & Johnson's Baby Powder 9oz (2018)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7412,NULL,NULL,"J&J Baby",3.99,"2020-03-11 12:26:34.630037",30,"2020-07-15 10:12:07.554715",NULL,NULL,NULL
678297,ID1,24,NULL,NULL,NULL,00074300000718,NULL,NULL,5.43,16.29,1,3,36,4Z,"Desitin Max Strength Original Paste Diaper Rash Paste",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7587,NULL,NULL,Desitin,8.79,"2020-03-11 12:26:34.630102",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678298,ID1,1379,NULL,NULL,NULL,00305215070009,NULL,NULL,1.74,5.22,1,3,144,170S,"Q-tips Cotton Swabs 170 ct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7609,NULL,NULL,"Q Tips",2.79,"2020-03-11 12:26:34.630166",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678299,ID1,24,NULL,NULL,NULL,00074300000701,NULL,NULL,3.66,10.98,1,3,36,2Z,"Desitin Maximum Strength Zino Oxide Diaper Rash Paste",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7641,NULL,NULL,Desitin,5.89,"2020-03-11 12:26:34.630230",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678300,ID1,96,NULL,NULL,NULL,00011179063000,NULL,NULL,0.51,1.53,1,3,144,1CT,"Unique White Tissue Streamer 81ft",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7897,NULL,NULL,Unique,0.79,"2020-03-11 12:26:34.630294",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678301,ID1,22,NULL,NULL,NULL,00011179063055,NULL,NULL,0.51,1.53,1,3,144,1CT,"Unique Yellow Tissue Streamer 81ft",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7900,NULL,NULL,Unique,0.79,"2020-03-11 12:26:34.630358",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678302,ID1,24,NULL,NULL,NULL,00011179063185,NULL,NULL,0.51,1.53,1,3,144,1CT,"Unique Streamer Pastle Pink 81ft",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7927,NULL,NULL,Unique,0.79,"2020-03-11 12:26:34.630424",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678303,ID1,60,NULL,NULL,NULL,00011179063260,NULL,NULL,0.51,1.53,1,3,144,1CT,"Unique Red Tissue Streamer 81ft",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7935,NULL,NULL,Unique,0.79,"2020-03-11 12:26:34.630488",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678304,ID1,88,NULL,NULL,NULL,00011179063437,NULL,NULL,0.51,1.53,1,3,144,81,"Unique Baby Blue Tissue Streamer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7943,NULL,NULL,Unique,0.79,"2020-03-11 12:26:34.630552",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678305,ID1,65,NULL,NULL,NULL,00011179063574,NULL,NULL,0.51,1.53,1,3,144,81,"Unique Green Tissue Streamer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7978,NULL,NULL,Unique,0.79,"2020-03-11 12:26:34.630616",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678306,ID1,114,NULL,NULL,NULL,00011179063017,NULL,NULL,0.51,1.53,1,3,144,1CT,"Unique Happy Birthday Tissue Streamer 30ft",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7994,NULL,NULL,Unique,0.79,"2020-03-11 12:26:34.630680",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678307,ID1,78,NULL,NULL,NULL,00071709001711,NULL,NULL,0.83,2.4899999999999998,1,3,72,".78 Z","Avery White Glue Stick 2 pack .78oz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,8273,NULL,NULL,Avery,1.59,"2020-03-11 12:26:34.630746",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678308,ID1,24,NULL,NULL,NULL,00047400240407,NULL,NULL,1.8,5.4,1,3,12,11Z,"Gillette Foamy Shaving Cream Regular",NULL,NULL,NULL,NULL,NULL,NULL,NULL,9199,NULL,NULL,Gillette,2.89,"2020-03-11 12:26:34.630810",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678309,ID1,0,NULL,NULL,NULL,00074300008035,NULL,NULL,3.58,10.74,1,3,36,.5Z,"Visine Original Eye Drops .5oz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,9288,NULL,NULL,Visine,5.79,"2020-03-11 12:26:34.630874",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678310,ID1,0,NULL,NULL,NULL,00078787402799,NULL,NULL,1.43,4.29,1,3,30,3X5,"INDEX CARD NEON 100S",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10588,NULL,NULL,Oxford,2.39,"2020-03-11 12:26:34.630938",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678311,ID1,84,NULL,NULL,NULL,00010181041808,NULL,NULL,3.89,11.67,1,3,12,8.5Z,"Palmer's Cocoa Butter Lotion",NULL,NULL,NULL,NULL,NULL,NULL,NULL,11274,NULL,NULL,Palmers,6.29,"2020-03-11 12:26:34.631002",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678312,ID1,28,NULL,NULL,NULL,00010181040009,NULL,NULL,3.89,11.67,1,3,12,3.5Z,"Palmer's Cocoa Butter Formula for Rough, Dry Skin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,11282,NULL,NULL,Palmers,6.29,"2020-03-11 12:26:34.631065",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678313,ID1,146,NULL,NULL,NULL,00011179190539,NULL,NULL,0.36,1.08,1,3,288,24CT,"Unique Spiral Candle Multi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,11371,NULL,NULL,Unique,0.79,"2020-03-11 12:26:34.631129",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678314,ID1,67,NULL,NULL,NULL,00305210014008,NULL,NULL,5.19,15.57,1,3,24,6.1Z,"Pond's Cold Cream",NULL,NULL,NULL,NULL,NULL,NULL,NULL,11398,NULL,NULL,Ponds,8.39,"2020-03-11 12:26:34.631194",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678315,ID1,1497,NULL,NULL,NULL,00305210043008,NULL,NULL,3.89,11.67,1,3,48,3.9Z,"Pond's Dry Skin Cream 3.9oz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,11436,NULL,NULL,Ponds,6.29,"2020-03-11 12:26:34.631257",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678316,ID1,587,NULL,NULL,NULL,00305210013001,NULL,NULL,3.89,11.67,1,3,48,3.5Z,"Pond's Cold Cream",NULL,NULL,NULL,NULL,NULL,NULL,NULL,12025,NULL,NULL,Ponds,6.29,"2020-03-11 12:26:34.631323",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678317,ID1,0,NULL,NULL,NULL,00079625011357,NULL,NULL,1.36,1.36,1,1,72,1135,"M/I SPRAY BOTTLE 8-OZ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,13501,NULL,NULL,"Paris Presents",2.49,"2020-03-11 12:26:34.631387",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678318,ID1,229,NULL,NULL,NULL,00310158062042,NULL,NULL,4.78,14.34,1,3,24,2.4Z,"Poligrip Super Free Denture Adhesive Cream",NULL,NULL,NULL,NULL,NULL,NULL,NULL,13986,NULL,NULL,Poligrip,7.69,"2020-03-11 12:26:34.631451",30,"2020-06-22 03:51:19.085215",NULL,NULL,NULL
678319,ID1,0,NULL,NULL,NULL,00381370030164,NULL,NULL,3.57,10.709999999999999,1,3,24,15Z,"Johnson & Johnsons Baby Powder 15Z Ea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,14362,NULL,NULL,"J&J Baby",5.79,"2020-03-11 12:26:34.631515",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678320,ID1,0,NULL,NULL,NULL,00381370030140,NULL,NULL,4.53,13.59,1,3,18,22Z,"Johson & Johnson Baby Powder 22Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,14370,NULL,NULL,"J&J Baby",7.29,"2020-03-11 12:26:34.631578",30,"2020-07-13 06:56:28.369884",NULL,NULL,NULL
678321,ID1,0,NULL,NULL,NULL,00381370030591,NULL,NULL,4.53,13.59,1,3,18,22Z,"Johnson & Johnsons Baby Powder Aloe & Vitamin E Cornstarch 22oz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,14389,NULL,NULL,"J&J Baby",7.29,"2020-03-11 12:26:34.631643",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678322,ID1,421,NULL,NULL,NULL,00381370030584,NULL,NULL,3.57,10.709999999999999,1,3,24,15Z,"Johnson & Johnson's Aloe & Vitamin E Cornstarch Baby Powder 15oz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,14397,NULL,NULL,"J&J Baby",5.79,"2020-03-11 12:26:34.631707",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678323,ID1,18,NULL,NULL,NULL,00312547701532,NULL,NULL,7.05,42.3,1,6,6,50.7Z,"Listerine Antiseptic Mouthwash",NULL,NULL,NULL,NULL,NULL,NULL,NULL,14400,NULL,NULL,Listerine,11.39,"2020-03-11 12:26:34.631772",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678324,ID1,474,NULL,NULL,NULL,00312547701525,NULL,NULL,5.48,32.88,1,6,6,33.8Z,"Listerine Original Antiseptic Mouthwash Gold 1 Liter (33.8 Fl. oz.)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,14419,NULL,NULL,Listerine,8.89,"2020-03-11 12:26:34.631838",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678325,ID1,24,NULL,NULL,NULL,00312547701310,NULL,NULL,3.96,11.879999999999999,1,3,6,16.9Z,"Listerine Antiseptic Mouthwash",NULL,NULL,NULL,NULL,NULL,NULL,NULL,14427,NULL,NULL,Listerine,6.39,"2020-03-11 12:26:34.631902",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
